,0,1,2
0,76.5745,75.988495,77.05879
1,78.62952,74.94337,75.921646
2,80.602165,74.201416,74.81125
3,75.97365,73.62502,74.13226
4,79.43418,73.17081,73.559654
5,76.02266,72.80728,73.122665
6,80.68727,72.51671,72.76736
7,75.42139,72.28488,72.4853
8,79.20894,72.100914,72.25973
9,78.040924,71.95568,72.08107
10,77.90848,71.84161,71.94004
11,75.80468,71.75245,71.82938
12,80.723656,71.68302,71.742905
13,77.66066,71.62914,71.675606
14,78.611824,71.58744,71.6234
15,75.57405,71.55523,71.583
16,76.54491,71.530396,71.5518
17,79.522446,71.51128,71.527756
18,77.50516,71.496574,71.50925
19,80.49187,71.48527,71.49501
20,78.48165,71.476585,71.48407
21,76.473816,71.469925,71.47566
22,80.4678,71.464806,71.469215
23,79.46317,71.460884,71.464264
24,77.45963,71.45788,71.46047
