,0,1,2
0,79.6737,78.418625,81.688034
1,81.23007,73.621765,78.490364
2,78.35611,70.985954,73.66293
3,77.97658,68.81684,71.01857
4,83.09045,67.26907,68.840294
5,88.72246,66.10088,67.28672
6,81.69713,65.239876,66.11393
7,87.94091,64.60264,65.24955
8,79.382515,64.13392,64.609764
9,81.972195,63.789753,64.13915
10,79.671253,63.537712,63.79359
11,79.451035,63.353424,63.54052
12,78.29011,63.218857,63.355476
13,76.172665,63.120693,63.220352
14,80.087013,63.049137,63.121784
15,79.024597,62.997,63.04993
16,77.979126,62.959034,62.99758
17,78.94602,62.93139,62.959457
18,83.921917,62.911266,62.931698
19,81.904373,62.89662,62.91149
20,79.8916,62.885963,62.896786
21,81.88231,62.87821,62.88608
22,77.87555,62.872562,62.878296
23,78.870632,62.868458,62.872627
24,79.867054,62.86547,62.868504
