,0,1,2
0,12.540075,13.071959,12.664309
1,12.736333,12.800282,12.919153
2,12.836252,12.655015,12.578063
3,12.672141,12.547175,12.558638
4,12.914597,12.4795475,12.461206
5,13.107223,12.43156,12.429894
6,13.317819,12.39952,12.39382
7,13.418534,12.377104,12.375084
8,13.621866,12.36176,12.359555
9,13.5229885,12.3510685,12.349878
10,13.324279,12.343673,12.342702
11,13.824964,12.338523,12.337909
12,14.125532,12.334948,12.334494
13,14.325891,12.332456,12.332151
14,14.226156,12.330722,12.330506
15,14.326334,12.329516,12.329368
16,14.42646,12.328675,12.328571
17,14.526547,12.328093,12.328019
18,14.126607,12.3276825,12.327634
19,14.52665,12.3274,12.327365
20,14.426679,12.327202,12.327179
21,14.436699,12.327064,12.327048
22,14.4567145,12.326968,12.326957
23,14.626725,12.3269005,12.326894
24,14.526731,12.326856,12.32685
